review_id,customer_id,product_id,rating,review_text,review_date
1,99667e23_benj1452202303,4eb90a3e,1.60,"Great product!","4/19/2024 0:00"
2,daaea7fe_raj.6991202307,b920b40c,3.51,"Great product!","5/17/2023 0:00"
3,8deed2d9_emma5571202203,cc38d40b,4.25,"Great product!","7/24/2023 0:00"
4,ccf306a3_deep0718202312,c3ab5851,4.02,"Great product!","11/25/2023 0:00"
5,63319746_chen9320202307,5c5bc607,4.37,"Great product!","3/13/2024 0:00"
6,0adc21d9_wei.3534202204,bf3a600c,2.58,"Great product!","4/10/2023 0:00"
7,ba28759f_mich6029202209,59ff8907,1.32,"Could be better.","2/18/2023 0:00"
8,adfad50a_benj2016202211,3c71dee9,1.61,"Great product!","2/26/2024 0:00"
9,df5ad062_john4523202208,8dbfd1df,1.48,"Great product!","11/11/2023 0:00"
10,58014afe_kavi9359202208,b69a6bcc,2.57,"Great product!","11/19/2023 0:00"
11,68856640_jack0444202204,3d298e70,1.37,"Great product!","3/24/2023 0:00"
12,134cac9b_ava.2791202302,59e7a3fc,2.89,"Great product!","3/1/2023 0:00"
13,109789d1_hina1988202206,08854ad1,1.53,"Could be better.","11/25/2023 0:00"
14,37b6ac66_anja9702202211,4de3715f,4.94,"Could be better.","2/25/2024 0:00"
15,8a1da231_yuki3922202209,f69dcba3,4.28,"Great product!","3/19/2023 0:00"
16,6f226f98_mia.1451202309,2ca5fc8f,1.61,"Great product!","6/30/2023 0:00"
17,4a0ba286_andr1371202204,c4cbcbbc,3.34,"Great product!","6/13/2023 0:00"
18,34162459_mich9577202206,6a530350,3.11,"Could be better.","9/19/2023 0:00"
19,fbe42300_sabi5002202310,48fb80dc,2.75,"Great product!","3/25/2023 0:00"
20,d9564f8c_luca3567202304,80fd4992,1.56,"Great product!","2/20/2023 0:00"
21,2abcaebd_noah3402202311,787b4559,2.05,"Great product!","2/13/2024 0:00"
22,61b00ae1_anna9085202303,54f2c111,3.93,"Great product!","12/31/2023 0:00"
23,64685a13_sadi2664202302,6e628ed0,3.36,"Great product!","12/6/2023 0:00"
24,60cfdcce_anja1332202206,79306cc1,1.89,"Could be better.","1/23/2024 0:00"
25,8bdf0099_jame4503202306,7fdacb96,1.31,"Great product!","3/29/2023 0:00"
26,44d40e53_jun.6603202307,5c5bc607,4.56,"Great product!","12/8/2023 0:00"
27,445385e6_vikr3246202311,ac21536e,2.89,"Great product!","1/16/2023 0:00"
28,0ac8406d_jame8479202208,6e628ed0,1.07,"Great product!","1/28/2023 0:00"
29,ec171b6a_kait6089202309,12ec1cd1,1.51,"Great product!","2/4/2023 0:00"
30,f5f410de_chen0253202309,59ff8907,4.01,"Great product!","8/24/2023 0:00"
31,6c96ca23_oliv9245202301,f86e91aa,2.53,"Great product!","7/3/2023 0:00"
32,1070d798_sota9007202209,5e5b4de9,4.01,"Great product!","7/31/2023 0:00"
33,3afe8c5d_marc4926202202,04b9db9a,2.74,"Great product!","5/30/2023 0:00"
34,e0f99417_chia3537202211,ac21536e,2.84,"Great product!","7/1/2023 0:00"
35,8f42ad76_vikr1713202312,7fdacb96,2.98,"Great product!","9/17/2023 0:00"
36,df5760e7_sabi1824202204,805f0fd0,1.16,"Great product!","5/23/2023 0:00"
37,197e9cbd_pete2314202307,37c1fe57,2.10,"Great product!","3/29/2024 0:00"
38,33e76d3c_benj6378202312,b7e7d4e6,3.28,"Great product!","10/25/2023 0:00"
